year,sex,age,value
2015,男性,0~4歳,2560742
2015,男性,5~9歳,2724815
2015,男性,10~14歳,2878889
2015,男性,15~19歳,3112389
2015,男性,20~24歳,3122145
2015,男性,25~29歳,3333293
2015,男性,30~34歳,3751133
2015,男性,35~39歳,4268424
2015,男性,40~44歳,4987672
2015,男性,45~49歳,4422363
2015,男性,50~54歳,4029260
2015,男性,55~59歳,3784054
2015,男性,60~64歳,4209953
2015,男性,65~69歳,4722964
2015,男性,70~74歳,3624699
2015,男性,75~79歳,2817001
2015,男性,80~84歳,2015201
2015,男性,85~89歳,1067939
2015,男性,90~94歳,336760
2015,男性,95~99歳,63647
2015,男性,100歳以上,8395
2015,女性,0~4歳,2445475
2015,女性,5~9歳,2594346
2015,女性,10~14歳,2740951
2015,女性,15~19歳,2942025
2015,女性,20~24歳,2968579
2015,女性,25~29歳,3199187
2015,女性,30~34歳,3645002
2015,女性,35~39歳,4148886.9999999995
2015,女性,40~44歳,4858921
2015,女性,45~49歳,4344004
2015,女性,50~54歳,3994852
2015,女性,55~59歳,3816967
2015,女性,60~64歳,4342448
2015,女性,65~69歳,5036221
2015,女性,70~74歳,4161848
2015,女性,75~79歳,3536502
2015,女性,80~84歳,3011032
2015,女性,85~89歳,2088337
2015,女性,90~94歳,1026068
2015,女性,95~99歳,297867
2015,女性,100歳以上,53488
2020,男性,0~4歳,2432718
2020,男性,5~9歳,2558310
2020,男性,10~14歳,2728113
2020,男性,15~19歳,2890331
2020,男性,20~24歳,3163121
2020,男性,25~29歳,3170165
2020,男性,30~34歳,3336834
2020,男性,35~39歳,3735992
2020,男性,40~44歳,4242089
2020,男性,45~49歳,4944565
2020,男性,50~54歳,4362042
2020,男性,55~59歳,3944122
2020,男性,60~64歳,3659792
2020,男性,65~69歳,3992972
2020,男性,70~74歳,4361798
2020,男性,75~79歳,3183782
2020,男性,80~84歳,2237814
2020,男性,85~89歳,1327279
2020,男性,90~94歳,512783
2020,男性,95~99歳,101723
2020,男性,100歳以上,10320
2020,女性,0~4歳,2312554
2020,女性,5~9歳,2444801
2020,女性,10~14歳,2598463
2020,女性,15~19歳,2755132
2020,女性,20~24歳,3002828
2020,女性,25~29歳,3003463
2020,女性,30~34歳,3200996
2020,女性,35~39歳,3639008
2020,女性,40~44歳,4140103
2020,女性,45~49歳,4841522
2020,女性,50~54歳,4314340
2020,女性,55~59歳,3952214
2020,女性,60~64歳,3759246
2020,女性,65~69歳,4246246
2020,女性,70~74歳,4871063
2020,女性,75~79歳,3927604
2020,女性,80~84歳,3167593
2020,女性,85~89歳,2412608
2020,女性,90~94歳,1325658
2020,女性,95~99歳,439343
2020,女性,100歳以上,73392
2025,男性,0~4歳,2214178
2025,男性,5~9歳,2430765
2025,男性,10~14歳,2561732
2025,男性,15~19歳,2739987
2025,男性,20~24歳,2942884
2025,男性,25~29歳,3211499
2025,男性,30~34歳,3175190
2025,男性,35~39歳,3324541
2025,男性,40~44歳,3713945
2025,男性,45~49歳,4207035
2025,男性,50~54歳,4880112
2025,男性,55~59歳,4275138
2025,男性,60~64歳,3822397
2025,男性,65~69歳,3482199
2025,男性,70~74歳,3695752
2025,男性,75~79歳,3869614
2025,男性,80~84歳,2560111
2025,男性,85~89歳,1504584
2025,男性,90~94歳,659938
2025,男性,95~99歳,160304
2025,男性,100歳以上,17579
2025,女性,0~4歳,2104793
2025,女性,5~9歳,2312277
2025,女性,10~14歳,2448997
2025,女性,15~19歳,2613081
2025,女性,20~24歳,2817533
2025,女性,25~29歳,3037935
2025,女性,30~34歳,3006536
2025,女性,35~39歳,3196851
2025,女性,40~44歳,3632403
2025,女性,45~49歳,4126531
2025,女性,50~54歳,4810027
2025,女性,55~59歳,4270907
2025,女性,60~64歳,3895980
2025,女性,65~69歳,3681272
2025,女性,70~74歳,4111901
2025,女性,75~79歳,4622315
2025,女性,80~84歳,3545079
2025,女性,85~89歳,2576633
2025,女性,90~94歳,1578720
2025,女性,95~99歳,589854
2025,女性,100歳以上,114994
2030,男性,0~4歳,2124190
2030,男性,5~9歳,2212776
2030,男性,10~14歳,2434253
2030,男性,15~19歳,2573791
2030,男性,20~24歳,2793802
2030,男性,25~29歳,2992515
2030,男性,30~34歳,3216692
2030,男性,35~39歳,3164305
2030,男性,40~44歳,3305705
2030,男性,45~49歳,3684797
2030,男性,50~54歳,4154429
2030,男性,55~59歳,4786939
2030,男性,60~64歳,4150613.0000000005
2030,男性,65~69歳,3646841
2030,男性,70~74歳,3236395
2030,男性,75~79歳,3287413
2030,男性,80~84歳,3167339
2030,男性,85~89歳,1751185
2030,男性,90~94歳,769022
2030,男性,95~99歳,215146
2030,男性,100歳以上,28874
2030,女性,0~4歳,2019233
2030,女性,5~9歳,2104954
2030,女性,10~14歳,2316506
2030,女性,15~19歳,2463795
2030,女性,20~24歳,2676500
2030,女性,25~29歳,2853432
2030,女性,30~34歳,3041138
2030,女性,35~39歳,3003320
2030,女性,40~44歳,3192028
2030,女性,45~49歳,3621611
2030,女性,50~54歳,4100971.9999999995
2030,女性,55~59歳,4763745
2030,女性,60~64歳,4213512
2030,女性,65~69歳,3819931
2030,女性,70~74歳,3572087
2030,女性,75~79歳,3908671
2030,女性,80~84歳,4214649
2030,女性,85~89歳,2920587
2030,女性,90~94歳,1727179
2030,女性,95~99歳,730686
2030,女性,100歳以上,163581
2035,男性,0~4歳,2045072
2035,男性,5~9歳,2123069
2035,男性,10~14歳,2216271
2035,男性,15~19歳,2446505
2035,男性,20~24歳,2628824
2035,男性,25~29歳,2844370
2035,男性,30~34歳,2999240
2035,男性,35~39歳,3206072
2035,男性,40~44歳,3147131
2035,男性,45~49歳,3280828
2035,男性,50~54歳,3640838
2035,男性,55~59歳,4078048
2035,男性,60~64歳,4652710
2035,男性,65~69歳,3969395
2035,男性,70~74歳,3401264
2035,男性,75~79歳,2896942
2035,男性,80~84歳,2701623
